Company,"Business Unit","Department Name","Department Code","Parent Department Code","Business Unit Name","Business Unit Code","Top Department","Project Allocated","Project Allocated Name","Project Allocated Code",HOD,"Performance HOD","Functional Head","Head HR","Group HR Head","Head Level Access","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9",Status,Capability
"PrimeSoft IP Solutions Private Limited.",,"Application and Infra Support",PSI.DAS.AAIS,PSI.DAS,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP QA & Devops (PSI.VP.QA&DO)","DevOps and Support (PSI.DAS)","Application and Infra Support (PSI.DAS.AAIS)",,,,,Active,
PrimeSoft,,"Associate Engineer",PSI.QA.MOBT,,,,,,,,,,,,,,"Associate Engineer (PSI.QA.MOBT)",,,,,,,,,Archived,
PrimeSoft,,Audit,PSI.Q.A,PSI.Q,,,,,,,,,,,,,"Quality (PSI.Q)","Audit (PSI.Q.A)",,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,Audit,PSI.DEV.Q.A,PSI.DEV.Q,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Development (PSI.DEV)","Quality (PSI.DEV.Q)","Audit (PSI.DEV.Q.A)",,,,Active,
"PrimeSoft IP Solutions Private Limited.",,Automation,PSI.QA.ATT,PSI.QA,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP QA & Devops (PSI.VP.QA&DO)","Quality Assurance (PSI.QA)","Automation (PSI.QA.ATT)",,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Automation Testing",PSI.QA.AT,PSI.QA,,,,,,,"[REDACTED],[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP QA & Devops (PSI.VP.QA&DO)","Quality Assurance (PSI.QA)","Automation Testing (PSI.QA.AT)",,,,,Active,
"Tejora Private Limited",,"Automation Testing",TPL.QA.AT,TPL.QA,,,,,,,,,,,,,"CEO (TPL.C)","Quality Assurance (TPL.QA)","Automation Testing (TPL.QA.AT)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Back End",PSI.DEV.BE,PSI.DEV,,,,,,,"[REDACTED],[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Development (PSI.DEV)","Back End (PSI.DEV.BE)",,,,,Active,
"Tejora Private Limited",,"Back End",TPL.DEV.BE,TPL.DEV,,,,,,,"[REDACTED],[REDACTED],[REDACTED]",,,,,,"CEO (TPL.C)","Development (TPL.DEV)","Back End (TPL.DEV.BE)",,,,,,,Active,
"Igenero Web Solutions Private Limited",,"Back End",IWSPL.DEV.BE,IWSPL.DEV,,,,,,,,,,,,,"Development (IWSPL.DEV)","Back End (IWSPL.DEV.BE)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Bengaluru Admin",PSI.A.BA,PSI.A,,,,,,,,,,,,,"CEO (PSI.C)","Adminstration (PSI.A)","Bengaluru Admin (PSI.A.BA)",,,,,,,Active,
